optimization asset expiry alpha error
DE-20 bnp 10.002739726 2.3712526665410936 0.0014661403512558483
DE-20 axa 0.0191780822 0.9344103326362766 0.03900828747061589
DE-20 axa 0.0849315068 0.8707912379242999 0.011469463982816324
DE-20 axa 0.1616438356 0.8795510946621934 0.004665237990465707
DE-20 axa 0.2383561644 0.9045681741131144 0.004378813293094418
DE-20 axa 0.4904109589 0.9312572133220608 0.003827071376418631
DE-20 axa 0.7479452055 0.9791267611472343 0.004021200029128808
DE-20 axa 1.0 1.018578890066738 0.00608131532403222
DE-20 axa 1.495890411 1.0230360884411016 0.004336385395924573
DE-20 axa 2.0 1.0510913073890515 0.003146319755591553
DE-20 axa 3.0 1.0789849167975014 0.0018385096315100804
DE-20 axa 4.0 1.0936337600512793 0.0011304838476623284
DE-20 axa 4.997260274 1.10120510699353 7.013717325822682E-4
DE-20 axa 7.002739726 1.0988362821127589 9.096670851725782E-4
DE-20 axa 10.002739726 1.091014141172203 0.0014656391227373538
DE-20 airliq 0.0191780822 1.679196679207139 0.025934740165282452
DE-20 airliq 0.0849315068 1.6980688106066675 0.009900029240691034
DE-20 airliq 0.1616438356 1.7145601690585408 0.004204117703984047
DE-20 airliq 0.2383561644 1.7365977362750094 0.002718549714444473
DE-20 airliq 0.4904109589 1.7824853872729198 0.0026047634161815974
DE-20 airliq 0.7479452055 1.8848459879722266 0.003359534356032448
DE-20 airliq 1.0 1.9582329814969825 0.0032159329270711827
DE-20 airliq 1.495890411 1.9433289349353768 0.003652092870046298
DE-20 airliq 2.0 2.019766177452271 0.003001575983306471
DE-20 airliq 3.0 2.100181989701789 0.0023250129892942468
DE-20 airliq 4.0 2.1336607411486685 0.0020791033807693016
DE-20 airliq 4.997260274 2.152559342405546 0.00211231853113292
DE-20 airliq 7.002739726 5.781909129776721 0.00721652789681361
DE-20 airliq 10.002739726 2.202749730305651 0.00255112500254764
DE-20 bancorp 0.0191780822 0.831609524553349 0.014505491573418277
DE-20 bancorp 0.0849315068 0.8049868981268951 0.008112149841995939
DE-20 bancorp 0.1616438356 0.787419210495989 0.004539358918457563
DE-20 bancorp 0.2383561644 0.7767267280343635 0.0033122585529382514
DE-20 bancorp 0.4904109589 0.7989226162895081 0.006752408220181761
DE-20 bancorp 0.7479452055 0.8141033476189443 0.009267405167309362
DE-20 bancorp 1.0 0.8211845765816008 0.010537384989955323
DE-20 bancorp 1.495890411 0.8277098948460022 0.011829127659785402
DE-20 bancorp 2.0 0.8305638793424114 0.012506311634459567
DE-20 bancorp 3.0 0.8326108486070403 0.013191043365493146
DE-20 bancorp 4.0 0.8329581209369775 0.013545997654729499
DE-20 bancorp 4.997260274 0.8327731740702284 0.013767084523644581
DE-20 bancorp 7.002739726 2.0553522604269414 0.014402497633414422
DE-20 bancorp 10.002739726 0.8319849224784822 0.014251334635104012
DE-20 wells 0.0191780822 1.6660033545081154 0.06007418814557781
DE-20 wells 0.0849315068 1.4883918879544082 0.020213501373858526
DE-20 wells 0.1616438356 1.4376066303591317 0.008783146871133886
DE-20 wells 0.2383561644 1.4222848746709993 0.005858815082513075
DE-20 wells 0.4904109589 1.5214672433110896 0.005578085349575011
DE-20 wells 0.7479452055 1.5642561434339581 0.004862076304304613
DE-20 wells 1.0 1.5836735522638061 0.00406245163378472
DE-20 wells 1.495890411 1.58285982809578 0.003382860459184738
DE-20 wells 2.0 1.5724107929060067 0.0032421794549166356
DE-20 wells 3.0 1.5565536026571456 0.004046541464894487
DE-20 wells 4.0 1.548655888412716 0.004711368141761758
DE-20 wells 4.997260274 4.25251052902938 0.006293451791154842
DE-20 wells 7.002739726 3.768696387314158 0.0035848654567136678
DE-20 wells 10.002739726 1.5354453535586121 0.006159434623555291
DE-20 dell 0.0191780822 0.9287153028539064 0.05518884252936386
DE-20 dell 0.0849315068 1.0605218446241722 0.02283004703257408
DE-20 dell 0.1616438356 1.096633488038267 0.010722979720043298
DE-20 dell 0.2383561644 1.107675887408829 0.005098093695178048
DE-20 dell 0.4904109589 1.1067828334572662 8.406642395437554E-4
DE-20 dell 0.7479452055 1.1138508642037874 0.001021620727049311
DE-20 dell 1.0 1.1318929890344906 9.514172205798421E-4
DE-20 dell 1.495890411 1.1723176185263564 0.0013478115828249179
DE-20 dell 2.0 1.1906068337984161 0.0016100891135691058
DE-20 dell 3.0 1.202303127373647 0.0018791294528387036
DE-20 dell 4.0 3.03608658046093 0.015366758550170726
DE-20 dell 4.997260274 1.1984535663701181 0.0021015345362962504
DE-20 dell 7.002739726 1.185671108247469 0.0022070308512657207
DE-20 dell 10.002739726 1.1635716395529592 0.0022980090363481794
