Method Strike bpvol
Reference 2.87234E-4 7.65109E-4
Reference 0.002787234 0.001326476
Reference 0.005287234 0.002236096
Reference 0.007787234 0.003047958
Reference 0.010287234 0.003792731
Reference 0.012787234 0.004492918
Reference 0.017787234 0.005806064
Reference 0.022787234 0.007030385
Explicit 2.87234E-4 5.413046791919048E-4
Explicit 5.12234E-4 5.501690901281592E-4
Explicit 7.37234E-4 5.651293614081193E-4
Explicit 9.62234E-4 5.947484943902904E-4
Explicit 0.001187234 6.475408155277299E-4
Explicit 0.0014122339999999998 7.253864110196792E-4
Explicit 0.001637234 8.198398584693277E-4
Explicit 0.001862234 9.208008329658075E-4
Explicit 0.002087234 0.001022536620308292
Explicit 0.002312234 0.0011227186458218981
Explicit 0.0025372339999999998 0.0012205915716069899
Explicit 0.0027622339999999997 0.0013160228789988822
Explicit 0.002987234 0.0014091098905648861
Explicit 0.0032122339999999996 0.001500024662872603
Explicit 0.003437234 0.001588953395606501
Explicit 0.0036622339999999995 0.0016760735319640459
Explicit 0.003887234 0.0017615461178063364
Explicit 0.004112234 0.001845514340347033
Explicit 0.004337234 0.0019281044747794527
Explicit 0.004562234 0.0020094276487477767
Explicit 0.004787234 0.0020895817590124367
Explicit 0.005012234 0.0021686532748940042
Explicit 0.0052372339999999995 0.0022467188375990352
Explicit 0.005462234 0.002323846639450599
Explicit 0.005687234 0.00240009759739189
Explicit 0.005912234 0.002475526345529936
Explicit 0.006137233999999999 0.002550182073163267
Explicit 0.006362234 0.002624109232845567
Explicit 0.006587234 0.002697348139930226
Explicit 0.0068122339999999995 0.002769935481757423
Explicit 0.007037233999999999 0.0028419047516202722
Explicit 0.007262234 0.002913286620019225
Explicit 0.007487234 0.002984109253503455
Explicit 0.007712233999999999 0.0030543985895726874
Explicit 0.007937234000000001 0.003124178574613412
Explicit 0.008162234 0.0031934713706238053
Explicit 0.008387234 0.003262297535485244
Explicit 0.008612234000000002 0.0033306761807288944
Explicit 0.008837234000000001 0.0033986251100838662
Explicit 0.009062234 0.003466160941553443
Explicit 0.009287234 0.0035332992153201473
Explicit 0.009512234000000001 0.0036000544894201087
Explicit 0.009737234 0.0036664404248205698
Explicit 0.009962234 0.003732469861289823
Explicit 0.010187234 0.003798154885238322
Explicit 0.010412234000000001 0.003863506890540278
Explicit 0.010637234 0.003928536633195045
Explicit 0.010862234 0.003993254280573358
Explicit 0.011087234000000001 0.00405766945588395
Explicit 0.011312234000000001 0.0041217912784153685
Explicit 0.011537234 0.0041856284000298845
Explicit 0.011762234 0.004249189038326941
Explicit 0.011987234 0.0043124810068394005
Explicit 0.012212233999999999 0.00437551174257916
Explicit 0.012437234 0.004438288331210953
Explicit 0.012662234000000001 0.004500817530099085
Explicit 0.012887234000000001 0.004563105789441802
Explicit 0.013112234 0.004625159271683424
Explicit 0.013337234 0.004686983869374046
Explicit 0.013562234 0.004748585221623258
Explicit 0.013787233999999999 0.0048099687292833026
Explicit 0.014012234000000002 0.004871139568978219
Explicit 0.014237234000000001 0.0049321027060839065
Explicit 0.014462234000000001 0.004992862906755384
Explicit 0.014687234 0.005053424749083417
Explicit 0.014912234 0.005113792633457305
Explicit 0.015137234 0.005173970792201226
Explicit 0.015362233999999999 0.005233963298547269
Explicit 0.015587234000000002 0.005293774074997122
Explicit 0.015812234 0.005353406901126208
Explicit 0.016037234 0.005412865420871012
Explicit 0.016262234 0.005472153149345558
Explicit 0.016487234 0.005531273479219675
Explicit 0.016712234 0.005590229686695167
Explicit 0.016937234000000002 0.005649024937110066
Explicit 0.017162234000000002 0.005707662290199156
Explicit 0.017387234 0.005766144705035591
Explicit 0.017612234 0.005824475044677743
Explicit 0.017837234 0.005882656080541483
Explicit 0.018062234 0.005940690496519323
Explicit 0.018287234 0.005998580892862106
Explicit 0.018512234000000002 0.0060563297898411795
Explicit 0.018737234000000002 0.006113939631204876
Explicit 0.018962234 0.006171412787445813
Explicit 0.019187234 0.006228751558887365
Explicit 0.019412234 0.006285958178606041
Explicit 0.019637234 0.006343034815196419
Explicit 0.019862234 0.006399983575392114
Explicit 0.020087234 0.006456806506548992
Explicit 0.020312234000000002 0.006513505599001782
Explicit 0.020537234 0.006570082788300142
Explicit 0.020762234 0.006626539957333512
Explicit 0.020987234 0.006682878938349171
Explicit 0.021212234 0.0067391015148721405
Explicit 0.021437234 0.006795209423530979
Explicit 0.021662234 0.006851204355796691
Explicit 0.021887234000000002 0.006907087959638426
Explicit 0.022112234 0.006962861841101685
Explicit 0.022337234 0.007018527565813014
Explicit 0.022562234 0.007074086660414538
Explicit 0.022787234 0.007129540613935746
Levenberg-Marquardt 2.87234E-4 7.502644939457553E-4
Levenberg-Marquardt 5.12234E-4 7.653008561476091E-4
Levenberg-Marquardt 7.37234E-4 7.808393109714008E-4
Levenberg-Marquardt 9.62234E-4 8.024954142229982E-4
Levenberg-Marquardt 0.001187234 8.343427912965862E-4
Levenberg-Marquardt 0.0014122339999999998 8.789732960894831E-4
Levenberg-Marquardt 0.001637234 9.366063971185765E-4
Levenberg-Marquardt 0.001862234 0.0010050792914265715
Levenberg-Marquardt 0.002087234 0.001081125021712273
Levenberg-Marquardt 0.002312234 0.00116172759653681
Levenberg-Marquardt 0.0025372339999999998 0.0012446889130472497
Levenberg-Marquardt 0.0027622339999999997 0.0013285939475209797
Levenberg-Marquardt 0.002987234 0.0014125897763995574
Levenberg-Marquardt 0.0032122339999999996 0.001496182604305661
Levenberg-Marquardt 0.003437234 0.0015790972113701293
Levenberg-Marquardt 0.0036622339999999995 0.0016611889521927102
