Method Strike Volatility
Reference 1008.0 0.37884288275669287
Reference 1209.6 0.34377695073916537
Reference 1411.2 0.3144570820243975
Reference 1612.8 0.2901453304101825
Reference 1814.4 0.27071806664538084
Reference 1915.2 0.26289906441165245
Reference 2016.0 0.2563879506401287
Reference 2116.8 0.251199582309137
Reference 2217.6 0.2473162561484559
Reference 2419.2 0.2431891444006864
Reference 2620.8 0.24311279990804216
Reference 3024.0 0.2506094629538411
Explicit-1 1008.0 0.37889234586694925
Explicit-1 1028.16 0.3750863301061141
Explicit-1 1048.32 0.37135137766697845
Explicit-1 1068.48 0.3676853914404705
Explicit-1 1088.64 0.3640864186295445
Explicit-1 1108.8 0.3605526416992485
Explicit-1 1128.96 0.35708237018433076
Explicit-1 1149.12 0.3536740332629566
Explicit-1 1169.28 0.35032617301562324
Explicit-1 1189.44 0.34703743829735023
Explicit-1 1209.6 0.343806579158931
Explicit-1 1229.76 0.34063244175961954
Explicit-1 1249.92 0.33751396371926246
Explicit-1 1270.08 0.33445016986269427
Explicit-1 1290.24 0.33144016831329853
Explicit-1 1310.4 0.32848314689610036
Explicit-1 1330.56 0.32557836981367083
Explicit-1 1350.72 0.3227251745605561
Explicit-1 1370.88 0.3199229690439676
Explicit-1 1391.04 0.3171712288801248
Explicit-1 1411.2 0.31446949483698144
Explicit-1 1431.3600000000001 0.31181737039514534
Explicit-1 1451.52 0.30921451939965183
Explicit-1 1471.68 0.3066606637759205
Explicit-1 1491.84 0.30415558128376446
Explicit-1 1512.0 0.3016991032837561
Explicit-1 1532.1599999999999 0.29929111249066254
Explicit-1 1552.3200000000002 0.2969315406890516
Explicit-1 1572.48 0.29462036638663924
Explicit-1 1592.6399999999999 0.29235761238150915
Explicit-1 1612.8 0.2901433432200742
Explicit-1 1632.96 0.28797766252362406
Explicit-1 1653.12 0.28586071016255155
Explicit-1 1673.28 0.283792659258977
Explicit-1 1693.44 0.2817737130005137
Explicit-1 1713.6 0.27980410125042554
Explicit-1 1733.76 0.2778840769424557
Explicit-1 1753.92 0.276013912252197
Explicit-1 1774.08 0.27419389454105675
Explicit-1 1794.24 0.2724243220736468
Explicit-1 1814.4 0.27070549951479245
Explicit-1 1834.56 0.2690377332182469
Explicit-1 1854.72 0.26742132632557275
Explicit-1 1874.88 0.2658565737003664
Explicit-1 1895.04 0.2643437567299556
Explicit-1 1915.2 0.26288313803367647
Explicit-1 1935.3600000000001 0.26147495612365657
Explicit-1 1955.52 0.26011942007044897
Explicit-1 1975.6799999999998 0.25881670423160485
Explicit-1 1995.8400000000001 0.257566943106106
Explicit-1 2016.0 0.25637022638120865
Explicit-1 2036.16 0.25522659424040745
Explicit-1 2056.3199999999997 0.2541360330018392
Explicit-1 2076.48 0.25309847115505635
Explicit-1 2096.6400000000003 0.2521137758609281
Explicit-1 2116.8 0.25118174997424925
Explicit-1 2136.96 0.2503021296415199
Explicit-1 2157.12 0.24947458251750643
Explicit-1 2177.2799999999997 0.24869870663380655
Explicit-1 2197.44 0.24797402994099688
Explicit-1 2217.6 0.24730001053346026
Explicit-1 2237.76 0.24667603755304474
Explicit-1 2257.92 0.24610143275477983
Explicit-1 2278.08 0.24557545270539716
Explicit-1 2298.24 0.24509729157379945
Explicit-1 2318.4 0.24466608446229074
Explicit-1 2338.56 0.2442809112186207
Explicit-1 2358.7200000000003 0.24394080066196805
Explicit-1 2378.88 0.24364473515103646
Explicit-1 2399.04 0.24339165541951743
Explicit-1 2419.2 0.2431804656032789
Explicit-1 2439.3599999999997 0.24301003838465376
Explicit-1 2459.52 0.24287922018193367
Explicit-1 2479.6800000000003 0.24278683631644418
Explicit-1 2499.84 0.24273169609504852
Explicit-1 2520.0 0.2427125977523933
Explicit-1 2540.16 0.24272833320430762
Explicit-1 2560.3199999999997 0.24277769257126902
Explicit-1 2580.48 0.24285946843846234
Explicit-1 2600.6400000000003 0.24297245982646828
Explicit-1 2620.8 0.2431154758538226
Explicit-1 2640.96 0.2432873390794274
Explicit-1 2661.12 0.24348688851895955
Explicit-1 2681.2799999999997 0.2437129823349234
Explicit-1 2701.44 0.24396450020478727
Explicit-1 2721.6 0.24424034537571268
Explicit-1 2741.76 0.24453944641773812
Explicit-1 2761.92 0.2448607586899476
Explicit-1 2782.08 0.24520326553618005
Explicit-1 2802.24 0.24556597922827336
Explicit-1 2822.4 0.24594794167575804
Explicit-1 2842.56 0.24634822492137484
Explicit-1 2862.7200000000003 0.24676593144185818
Explicit-1 2882.88 0.2472001942731755
Explicit-1 2903.04 0.24765017697888833
Explicit-1 2923.2 0.2481150734795741
Explicit-1 2943.3599999999997 0.24859410776035704
Explicit-1 2963.52 0.24908653347259757
Explicit-1 2983.6800000000003 0.2495916334447124
Explicit-1 3003.84 0.25010871911598126
Explicit-1 3024.0 0.2506371299060654
Explicit-0 1008.0 0.3804677535685744
Explicit-0 1028.16 0.3766540586600159
Explicit-0 1048.32 0.3729116739811403
Explicit-0 1068.48 0.36923849746934245
Explicit-0 1088.64 0.36563257173274955
Explicit-0 1108.8 0.36209207496957535
Explicit-0 1128.96 0.35861531274677605
Explicit-0 1149.12 0.3552007105462961
Explicit-0 1169.28 0.35184680699773047
Explicit-0 1189.44 0.3485522477252528
Explicit-0 1209.6 0.3453157797443788
Explicit-0 1229.76 0.34213624635075324
Explicit-0 1249.92 0.33901258244879556
Explicit-0 1270.08 0.3359438102728664
Explicit-0 1290.24 0.33292903545772096
Explicit-0 1310.4 0.32996744341849077
Explicit-0 1330.56 0.32705829600336717
Explicit-0 1350.72 0.3242009283846136
Explicit-0 1370.88 0.32139474615557106
Explicit-0 1391.04 0.318639222602997
Explicit-0 1411.2 0.31593389612544115
Explicit-0 1431.3600000000001 0.3132783677694637
Explicit-0 1451.52 0.3106722988563758
Explicit-0 1471.68 0.30811540867288456
Explicit-0 1491.84 0.30560747219959217
Explicit-0 1512.0 0.3031483178517755
Explicit-0 1532.1599999999999 0.30073782520730863
Explicit-0 1552.3200000000002 0.2983759226970335
Explicit-0 1572.48 0.2960625852333846
Explicit-0 1592.6399999999999 0.29379783175368435
Explicit-0 1612.8 0.2915817226553168
Explicit-0 1632.96 0.28941435710099284
Explicit-0 1653.12 0.2872958701736327
Explicit-0 1673.28 0.285226429862044
Explicit-0 1693.44 0.2832062338606435
Explicit-0 1713.6 0.2812355061690078
Explicit-0 1733.76 0.2793144934800799
Explicit-0 1753.92 0.27744346134946474
Explicit-0 1774.08 0.2756226901424182
Explicit-0 1794.24 0.2738524707598808
Explicit-0 1814.4 0.2721331001502309
Explicit-0 1834.56 0.2704648766192505
Explicit-0 1854.72 0.2688480949570746
