Method Strike bpvol
Reference 0.0034112325 0.0069511945
Reference 0.0084112325 0.005593476
Reference 0.0109112325 0.0056426279
Reference 0.0134112325 0.0060367039
Reference 0.0159112325 0.0065177869
Reference 0.0184112325 0.0070990973
Reference 0.0209112325 0.0078222947
Reference 0.0234112325 0.0085819546
Reference 0.0259112325 0.0092668116
Reference 0.0284112325 0.009898088
Reference 0.0334112325 0.0110632582
Reference 0.0384112325 0.012887474
LevenbergMarquardt 0.0034112325 0.006219865447056951
LevenbergMarquardt 0.0037612325 0.006212725597158798
LevenbergMarquardt 0.0041112325 0.006203824513512522
LevenbergMarquardt 0.0044612325000000005 0.006193541468845439
LevenbergMarquardt 0.0048112325 0.006182201109007304
LevenbergMarquardt 0.0051612325 0.0061700889234952766
LevenbergMarquardt 0.0055112325 0.0061574621711590494
LevenbergMarquardt 0.005861232500000001 0.006144557829247426
LevenbergMarquardt 0.0062112325 0.006131598525359497
LevenbergMarquardt 0.0065612325 0.006118797057207678
LevenbergMarquardt 0.0069112325 0.006106359889740841
LevenbergMarquardt 0.0072612325 0.006094489883323693
LevenbergMarquardt 0.0076112325000000005 0.00608338841779787
LevenbergMarquardt 0.007961232500000002 0.006073257017045913
LevenbergMarquardt 0.008311232500000001 0.006064298536566237
LevenbergMarquardt 0.008661232500000001 0.00605671794637701
LevenbergMarquardt 0.0090112325 0.006050722719753671
LevenbergMarquardt 0.0093612325 0.0060465228229681514
LevenbergMarquardt 0.0097112325 0.006044330291508554
LevenbergMarquardt 0.0100612325 0.006044358374103359
LevenbergMarquardt 0.010411232500000001 0.006046820227583616
LevenbergMarquardt 0.0107612325 0.006051927153714078
LevenbergMarquardt 0.0111112325 0.006059886384053586
LevenbergMarquardt 0.0114612325 0.006070898440722411
LevenbergMarquardt 0.011811232500000001 0.006085154128999728
LevenbergMarquardt 0.0121612325 0.006102831250274907
LevenbergMarquardt 0.012511232500000002 0.006124091158164727
LevenbergMarquardt 0.0128612325 0.006149075312553996
LevenbergMarquardt 0.013211232500000001 0.006177902011066586
LevenbergMarquardt 0.013561232500000001 0.006210663490026677
LevenbergMarquardt 0.0139112325 0.006247423583129643
LevenbergMarquardt 0.014261232500000002 0.0062882161034578795
LevenbergMarquardt 0.014611232500000002 0.006333044073494964
LevenbergMarquardt 0.0149612325 0.006381879871824733
LevenbergMarquardt 0.0153112325 0.006434666300412162
LevenbergMarquardt 0.0156612325 0.006491318510652445
LevenbergMarquardt 0.0160112325 0.006551726667905566
LevenbergMarquardt 0.016361232500000003 0.006615759189860113
LevenbergMarquardt 0.0167112325 0.006683266368116146
LevenbergMarquardt 0.017061232500000002 0.006754084176048927
LevenbergMarquardt 0.017411232500000002 0.00682803807755962
LevenbergMarquardt 0.0177612325 0.0069049466767575
LevenbergMarquardt 0.0181112325 0.00698462508282063
LevenbergMarquardt 0.0184612325 0.007066887902017254
LevenbergMarquardt 0.0188112325 0.007151551805647829
LevenbergMarquardt 0.0191612325 0.007238437655229012
LevenbergMarquardt 0.0195112325 0.0073273721926095685
LevenbergMarquardt 0.019861232500000003 0.007418189322275869
LevenbergMarquardt 0.020211232500000002 0.007510731025978426
LevenbergMarquardt 0.020561232500000002 0.00760484795693299
