Method Strike bpvol
Reference 0.0109229881 0.007897744
Reference 0.0159229881 0.0081974754
Reference 0.0209229881 0.0084844418
Reference 0.0234229881 0.0086387535
Reference 0.0259229881 0.0088058104
Reference 0.0284229881 0.0089880003
Reference 0.0309229881 0.0091867171
Reference 0.0334229881 0.0094023467
Reference 0.0359229881 0.0096336124
Reference 0.0384229881 0.0098787816
Reference 0.0409229881 0.0101361087
Reference 0.0459229881 0.0106806286
Reference 0.0509229881 0.0112567859
Explicit 0.0109229881 0.00802894430107573
Explicit 0.011322988099999999 0.008048493180193555
Explicit 0.0117229881 0.008067735522906079
Explicit 0.012122988099999999 0.008086722273972781
Explicit 0.0125229881 0.008105500809312858
Explicit 0.0129229881 0.008124115325584946
Explicit 0.013322988099999999 0.008142607171101122
Explicit 0.0137229881 0.008161015127951615
Explicit 0.014122988099999999 0.008179375653314733
Explicit 0.014522988099999998 0.008197723086439611
Explicit 0.0149229881 0.008216089826617612
Explicit 0.015322988099999999 0.008234506486528554
Explicit 0.015722988099999998 0.008253002024605285
Explicit 0.0161229881 0.008271603859463244
Explicit 0.016522988099999997 0.008290337968958767
Explicit 0.016922988099999998 0.008309228976047262
Explicit 0.0173229881 0.008328300223290909
Explicit 0.0177229881 0.008347573837601282
Explicit 0.018122988099999997 0.008367070786583363
Explicit 0.0185229881 0.008386810927665063
Explicit 0.018922988099999996 0.008406813051043875
Explicit 0.019322988099999997 0.008427094917353266
Explicit 0.019722988099999998 0.008447673290842048
Explicit 0.020122988099999996 0.00846856396876611
Explicit 0.0205229881 0.008489781807611235
Explicit 0.020922988099999998 0.008511340746694773
Explicit 0.021322988099999995 0.008533253829632582
Explicit 0.0217229881 0.008555533224102112
Explicit 0.022122988099999998 0.008578190240283697
Explicit 0.0225229881 0.008601235348317518
Explicit 0.022922988099999996 0.008624678195073156
Explicit 0.023322988099999997 0.00864852762049167
Explicit 0.0237229881 0.008672791673725496
Explicit 0.0241229881 0.008697477629270173
Explicit 0.024522988099999997 0.008722592003251437
Explicit 0.024922988099999994 0.00874814057000448
Explicit 0.0253229881 0.008774128379055455
Explicit 0.025722988099999997 0.008800559772591877
Explicit 0.026122988099999998 0.008827438403485616
Explicit 0.0265229881 0.008854767253912146
Explicit 0.026922988099999996 0.008882548654589362
Explicit 0.027322988099999997 0.00891078430464334
Explicit 0.027722988099999995 0.008939475292091104
Explicit 0.028122988099999996 0.008968622114917205
Explicit 0.028522988099999997 0.008998224702707974
Explicit 0.028922988099999998 0.00902828243879657
Explicit 0.029322988099999996 0.00905879418286198
Explicit 0.029722988099999997 0.009089758293918377
Explicit 0.030122988099999998 0.009121172653624736
Explicit 0.030522988099999995 0.009153034689838656
Explicit 0.030922988099999996 0.009185341400336753
Explicit 0.03132298809999999 0.00921808937662329
Explicit 0.031722988099999995 0.009251274827741044
Explicit 0.0321229881 0.00928489360400924
Explicit 0.0325229881 0.009318941220606008
Explicit 0.032922988099999995 0.009353412880921067
Explicit 0.03332298809999999 0.00938830349960248
Explicit 0.0337229881 0.009423607725230015
Explicit 0.0341229881 0.009459319962549409
Explicit 0.0345229881 0.009495434394206867
Explicit 0.034922988099999996 0.009531945001929583
Explicit 0.035322988099999994 0.009568845587102595
Explicit 0.03572298809999999 0.009606129790698631
Explicit 0.036122988099999996 0.009643791112522991
Explicit 0.0365229881 0.009681822929741702
Explicit 0.0369229881 0.009720218514666354
Explicit 0.037322988099999996 0.009758971051775056
Explicit 0.03772298809999999 0.009798073653954237
Explicit 0.0381229881 0.009837519377950688
Explicit 0.0385229881 0.009877301239028649
Explicit 0.03892298809999999 0.009917412224830799
Explicit 0.0393229881 0.009957845308446466
Explicit 0.039722988099999995 0.009998593460694146
Explicit 0.04012298809999999 0.010039649661628609
Explicit 0.04052298809999999 0.010081006911286446
Explicit 0.040922988099999995 0.010122658239686316
Explicit 0.0413229881 0.010164596716102717
Explicit 0.0417229881 0.01020681545763409
Explicit 0.042122988099999994 0.01024930763708787
Explicit 0.04252298809999999 0.010292066490206557
Explicit 0.04292298809999999 0.01033508532225996
Explicit 0.04332298809999999 0.010378357514029666
Explicit 0.0437229881 0.010421876527212515
Explicit 0.044122988099999996 0.010465635909270037
Explicit 0.044522988099999994 0.010509629297751356
Explicit 0.04492298809999999 0.010553850424116629
Explicit 0.04532298809999999 0.010598293117088337
