guess asset expiry alpha error
DifferentialEvolution 1 0.057534247 0.27070791381386944 1.5310646852858121E-4
DifferentialEvolution 1 0.153424658 0.25630208735587684 1.4352882621635399E-4
DifferentialEvolution 1 0.230136986 0.25596092887421695 1.1361144632279046E-4
DifferentialEvolution 1 0.479452055 0.2548517707502467 5.114372700275438E-5
DifferentialEvolution 1 0.728767123 0.2565744449293513 1.7783724129752992E-5
DifferentialEvolution 1 1.22739726 0.25977986380683654 1.5128657017778978E-5
DifferentialEvolution 1 1.726027397 0.26070052448631353 1.646681270746368E-5
DifferentialEvolution 1 2.243835616 0.26184502860750775 1.8005257563930587E-5
DifferentialEvolution 1 2.742465753 0.261716780557311 1.856194061101969E-5
DifferentialEvolution 1 3.24109589 0.26250753597219334 1.9359091983117844E-5
DifferentialEvolution 1 4.238356164 0.2635624898560716 2.0975879537322946E-5
DifferentialEvolution sp500 0.0191780822 0.18085997721643968 0.028329971862315957
DifferentialEvolution sp500 0.0849315068 0.16584311393490267 0.013690997669827372
DifferentialEvolution sp500 0.1616438356 0.162221426867322 0.00954275049402982
DifferentialEvolution sp500 0.2383561644 0.16480518602168523 0.010518226517564051
DifferentialEvolution sp500 0.4904109589 0.17256826780876447 0.011475664681389783
DifferentialEvolution sp500 0.7479452055 0.1809731106059948 0.010463438423489
DifferentialEvolution sp500 1.0 0.18690275843774148 0.009057088807435667
DifferentialEvolution sp500 1.495890411 0.19908016145658172 0.005715748652120853
DifferentialEvolution sp500 2.0 0.20863668599106344 0.0039468315654306915
DifferentialEvolution sp500 3.0 0.8047826971061828 0.0028776345465891086
DifferentialEvolution sp500 4.0 0.7780222131204537 0.002279894637616916
DifferentialEvolution sp500 4.997260274 0.7410971545421993 0.001953206568160557
DifferentialEvolution sp500 7.002739726 0.2780776654741725 0.0014764000316524633
DifferentialEvolution sp500 10.002739726 0.3544496480377029 0.0012858788975329734
DifferentialEvolution euro50 0.0191780822 0.18731472938339458 0.026538075991340154
DifferentialEvolution euro50 0.0849315068 0.17734428138102457 0.010794935586948566
DifferentialEvolution euro50 0.1616438356 0.1784046495256685 0.003780537095184799
DifferentialEvolution euro50 0.2383561644 0.18611958604652076 0.00246632251821605
DifferentialEvolution euro50 0.4904109589 0.1994073030190334 0.0024913109997885922
DifferentialEvolution euro50 0.7479452055 0.21050480736160299 0.0027860471892334265
DifferentialEvolution euro50 0.997260274 0.21870499119648235 0.00276157864070333
DifferentialEvolution euro50 1.495890411 0.2269596966395898 0.0025984566469861702
DifferentialEvolution euro50 1.997260274 0.2301898249104997 0.0021318468826560318
DifferentialEvolution euro50 2.997260274 1.7826326037252436 0.0016041779404537496
DifferentialEvolution euro50 4.0 1.4856505662493442 0.0013214352132579626
DifferentialEvolution euro50 4.997260274 0.23512993717938702 0.001204423643094066
DifferentialEvolution euro50 7.0 0.23750067996911536 0.0010780864733466145
DifferentialEvolution euro50 10.002739726 0.24060155024003962 9.97488534371888E-4
DifferentialEvolution msci 0.0191780822 0.24069129601922698 0.0556811976409319
DifferentialEvolution msci 0.0849315068 0.22266557143855684 0.014314785671240794
DifferentialEvolution msci 0.1616438356 0.22118130609004727 0.005493479347822209
DifferentialEvolution msci 0.2383561644 0.22398668253162832 0.014409384665521108
DifferentialEvolution msci 0.4904109589 0.22113000114321382 0.014224212873099627
DifferentialEvolution msci 0.7479452055 0.2383098772422316 0.009858119205247552
DifferentialEvolution msci 1.0 0.24653475330044677 0.0079053307604302
DifferentialEvolution msci 1.495890411 0.2337064141892323 0.0057729282075941616
DifferentialEvolution msci 2.0 0.22563949100931263 0.004520298897865852
DifferentialEvolution msci 3.0 0.2186606866329867 0.0031346647861771075
DifferentialEvolution msci 4.0 0.7527737000473828 0.0023850639880153546
DifferentialEvolution msci 4.997260274 0.21489562548117241 0.0020203863929431826
DifferentialEvolution msci 7.002739726 0.2158407130059289 0.0018416974783287145
DifferentialEvolution msci 10.002739726 0.44833682112874623 0.001955979561557372
DifferentialEvolution bnp 0.0191780822 0.3035511810594008 0.03354044608467521
DifferentialEvolution bnp 0.0849315068 0.301155048283403 0.008498195626238249
DifferentialEvolution bnp 0.1616438356 0.3045301578181074 0.0018334265918909522
DifferentialEvolution bnp 0.2383561644 0.3084015885115842 0.0018008222311603872
DifferentialEvolution bnp 0.4904109589 0.314228470163329 0.003241722268168042
DifferentialEvolution bnp 0.7479452055 0.32762747129587566 0.002532657708101879
DifferentialEvolution bnp 1.0 0.3412521133591007 0.003907203708272046
DifferentialEvolution bnp 1.495890411 0.35140052934185184 0.004741850449689375
DifferentialEvolution bnp 2.0 0.36081938843892597 0.004074766499236834
DifferentialEvolution bnp 3.0 0.38654374791970664 0.002458133490899736
DifferentialEvolution bnp 4.0 0.40202848746676023 0.0015762790386686226
DifferentialEvolution bnp 4.997260274 0.4137792758997669 0.0010325982994849395
DifferentialEvolution bnp 7.002739726 0.4222827046844065 7.777885983751274E-4
DifferentialEvolution bnp 10.002739726 0.43113254344648033 0.0011534535743488229
DifferentialEvolution axa 0.0191780822 0.25357059856243414 0.03749963016401509
DifferentialEvolution axa 0.0849315068 0.23814524961424863 0.00953135322574968
DifferentialEvolution axa 0.1616438356 0.24125888619780134 0.002152959248716147
DifferentialEvolution axa 0.2383561644 0.24851091451823373 0.002040844784064266
DifferentialEvolution axa 0.4904109589 0.2569101648959013 0.002124970280886122
DifferentialEvolution axa 0.7479452055 0.2713924543149679 0.0028872989289437747
DifferentialEvolution axa 1.0 0.28328231102088786 0.005256961918014195
