Method Strike bpvol
Reference 0.024806524 0.0077687
Reference 0.029806524 0.00773276
Reference 0.032306524 0.007729321
Reference 0.034806524 0.007741137
Reference 0.037306524 0.007771688
Reference 0.039806524 0.007823635
Reference 0.042306524 0.00789863
Reference 0.044806524 0.007997225
Reference 0.047306524 0.008118919
Reference 0.049806524 0.008262346
Reference 0.054806524 0.008606221
Reference 0.059806524 0.009010619
Explicit-PDE 0.019806524 0.007648914296967783
Explicit-PDE 0.020206524 0.00765067516255528
Explicit-PDE 0.020606523999999998 0.007652139284805405
Explicit-PDE 0.021006524 0.007653334411848764
Explicit-PDE 0.021406524 0.007654287530182024
Explicit-PDE 0.021806524 0.007655024927087568
Explicit-PDE 0.022206524 0.0076555722471822575
Explicit-PDE 0.022606524 0.0076559545435895
Explicit-PDE 0.023006524 0.007656196324166501
Explicit-PDE 0.023406523999999998 0.007656321593164693
Explicit-PDE 0.023806524 0.0076563538789307245
Explicit-PDE 0.024206524 0.007656316350169283
Explicit-PDE 0.024606523999999998 0.007656231980830097
Explicit-PDE 0.025006524 0.0076561231212330235
Explicit-PDE 0.025406524 0.007656011766735357
Explicit-PDE 0.025806523999999997 0.007655919577262432
Explicit-PDE 0.026206524 0.007655867893890662
Explicit-PDE 0.026606524 0.007655877752626842
Explicit-PDE 0.027006523999999997 0.007655969895514053
Explicit-PDE 0.027406523999999998 0.007656164746714982
Explicit-PDE 0.027806524 0.007656482770679062
Explicit-PDE 0.028206523999999997 0.00765694412165581
Explicit-PDE 0.028606524 0.007657568433566115
Explicit-PDE 0.029006524 0.0076583750600512
Explicit-PDE 0.029406523999999996 0.007659383071259247
Explicit-PDE 0.029806524 0.007660611248669748
Explicit-PDE 0.030206524 0.0076620780554824105
Explicit-PDE 0.030606524 0.007663802092244453
Explicit-PDE 0.031006524 0.007665801393909769
Explicit-PDE 0.031406524 0.007668093470288835
Explicit-PDE 0.031806524 0.007670695482054778
Explicit-PDE 0.032206524 0.007673624225516378
Explicit-PDE 0.032606524 0.0076768961184405776
Explicit-PDE 0.033006523999999995 0.007680527598116285
Explicit-PDE 0.033406524 0.007684534340876808
Explicit-PDE 0.033806524000000004 0.00768893144224435
Explicit-PDE 0.034206524 0.007693733532623899
Explicit-PDE 0.034606524 0.007698954750963257
Explicit-PDE 0.035006524 0.007704608929983728
Explicit-PDE 0.035406524 0.0077107093684329435
Explicit-PDE 0.035806524 0.007717268531664165
Explicit-PDE 0.036206524000000004 0.007724298308910303
Explicit-PDE 0.036606524 0.007731809579299124
Explicit-PDE 0.037006524 0.0077398143674966575
Explicit-PDE 0.037406524 0.0077483215527992646
Explicit-PDE 0.037806524 0.007757340827588719
Explicit-PDE 0.038206524 0.0077668807979582285
Explicit-PDE 0.038606524 0.007776949384209024
Explicit-PDE 0.039006524 0.007787553887965213
Explicit-PDE 0.039406524 0.007798700744139683
Explicit-PDE 0.039806523999999996 0.007810395600833892
Explicit-PDE 0.040206524 0.007822643413413311
Explicit-PDE 0.040606524 0.00783544840790937
Explicit-PDE 0.041006524 0.007848814120845992
Explicit-PDE 0.041406524 0.007862743292510934
Explicit-PDE 0.041806524 0.007877237655845273
Explicit-PDE 0.042206524 0.007892298438385842
Explicit-PDE 0.042606524 0.007907926158071022
Explicit-PDE 0.043006524 0.007924120633376129
Explicit-PDE 0.043406524 0.007940881015842175
Explicit-PDE 0.043806524 0.0079582058370822
Explicit-PDE 0.044206524 0.007976092463985882
Explicit-PDE 0.044606523999999995 0.007994538037827889
Explicit-PDE 0.045006524 0.008013539097374331
Explicit-PDE 0.045406524000000004 0.008033091602519462
