Method Strike Price Black Normal
PDE 0.05 0.0048092742531875106 1.216168530248866 0.34548636186566617
Lognormal 0.05 0.017616523029777953 1.723875719364724 0.4426092702388939
Normal 0.05 0.030266893303272462 2.1997070732864654 0.5040737556476578
LognormalAB 0.05 0.014965913556116471 1.6295530672214311 0.4271169192507518
NormalAB 0.05 0.01900669428438429 1.7731809931373808 0.45025307168837364
PDE 0.0695 0.006699778689818255 1.135099984384985 0.35927186428288355
Lognormal 0.0695 0.02064108179323186 1.5396702762658552 0.45164786429354226
Normal 0.0695 0.032115054567417534 1.8350704714508614 0.5041693998182335
LognormalAB 0.0695 0.017434638357085364 1.4561917269680966 0.43452919503285015
NormalAB 0.0695 0.020957445635570914 1.5478067515934797 0.4532620998539258
PDE 0.089 0.008602698434810038 1.0719353032163648 0.36959083880886245
Lognormal 0.089 0.023234558659565446 1.4078741453914385 0.45714958006456374
Normal 0.089 0.03369294708863396 1.6173773156535312 0.5028078112584298
LognormalAB 0.089 0.019552462456428256 1.331554314362443 0.43879513274618015
NormalAB 0.089 0.02270666698340132 1.3970841507050653 0.4546104107988995
PDE 0.1085 0.010520645760725268 1.0197989988912164 0.3776288928350935
Lognormal 0.1085 0.025561377495274557 1.3057667833477808 0.46049470209219895
Normal 0.1085 0.03514435952604152 1.4645986555894872 0.5006713536070422
LognormalAB 0.1085 0.021473949891715284 1.2350270444789477 0.44123779992239043
NormalAB 0.1085 0.024350665502115558 1.2850999155637017 0.45495496260364165
PDE 0.128 0.012456240494316586 0.9751869918791178 0.3840243965143468
Lognormal 0.128 0.02771133242692013 1.2226982253339764 0.4623828424372148
Normal 0.128 0.03653247748624074 1.3481147091292962 0.4980541709496056
LognormalAB 0.128 0.023280152667497802 1.156690612982487 0.4425002858377118
NormalAB 0.128 0.025939595904483286 1.1966461315425623 0.4546258421321347
PDE 0.14750000000000002 0.014412257803279082 0.9360629851817287 0.38916706138648516
Lognormal 0.14750000000000002 0.0297398935676823 1.1528449374887726 0.46322004366650243
Normal 0.14750000000000002 0.03789090679877623 1.2546427171811465 0.4951088349577241
LognormalAB 0.14750000000000002 0.025019343749231635 1.0910379462153363 0.442941958400413
NormalAB 0.14750000000000002 0.027503663627365723 1.1239148433666855 0.45381352505036937
PDE 0.16699999999999998 0.016391578738819527 0.9011342211658571 0.39331506178760317
Lognormal 0.16699999999999998 0.03168437135832337 1.092684922534474 0.4632640488867001
Normal 0.16699999999999998 0.039240120120840064 1.1769749187915417 0.49192490948728707
LognormalAB 0.16699999999999998 0.026723071527557818 1.034707303349909 0.44278347644049326
NormalAB 0.16699999999999998 0.029063070151675967 1.0623884367865994 0.4526386295712096
PDE 0.1865 0.018397222903372992 0.8695269988447978 0.39665001423531393
Lognormal 0.1865 0.033571538828534475 1.039930484035488 0.4626893516176941
Normal 0.1865 0.0405939911706434 1.1107838205178848 0.48855993457544566
LognormalAB 0.1865 0.02841353704836241 0.9855023481918292 0.4421699812131836
NormalAB 0.1865 0.030632493357353897 1.0092290744708612 0.4511828934362589
PDE 0.20600000000000002 0.020432451080527967 0.8406232471333845 0.39930602098643864
Lognormal 0.20600000000000002 0.035421648579170247 0.993014266878577 0.46162003514082944
Normal 0.20600000000000002 0.041962792520298546 1.0532787067861225 0.4850535581632932
LognormalAB 0.20600000000000002 0.030107372437134614 0.9419128743944848 0.44120215474858837
NormalAB 0.20600000000000002 0.03222336058552815 0.9625433584736482 0.4495046919363971
PDE 0.22550000000000003 0.022500642429459608 0.8139679548372607 0.4013851704910834
Lognormal 0.22550000000000003 0.037250731691845375 0.9508170980510792 0.4601478687308721
Normal 0.22550000000000003 0.0433547271392747 1.0025611343267908 0.4814347076863082
LognormalAB 0.22550000000000003 0.03181774174117553 0.9028581815151135 0.439952903540739
NormalAB 0.22550000000000003 0.03384510939870049 0.9210083475142046 0.4476475322067676
PDE 0.245 0.02460549358828155 0.7892178023059011 0.4029682269358526
Lognormal 0.245 0.03907200149896229 0.9125130335787072 0.45834297356899073
Normal 0.245 0.04477678117584838 0.9572849028709113 0.477725542957104
LognormalAB 0.245 0.03355558814774506 0.8675397706232411 0.438476958531932
NormalAB 0.245 0.03550593848336575 0.883665339987684 0.44564503231210023
PDE 0.2645 0.02675090674378684 0.7661063593250458 0.4041202252022751
Lognormal 0.2645 0.040896758035754946 0.8774759332431655 0.45626045567770634
Normal 0.2645 0.0462352350275595 0.9164631971073925 0.47394378524454295
LognormalAB 0.2645 0.03533041617834202 0.835351987542676 0.4368167120567725
NormalAB 0.2645 0.037213282633122687 0.8497987615916591 0.4435240044973824
PDE 0.284 0.02894105702997663 0.744423073614598 0.4048948382555463
Lognormal 0.284 0.04273499868893839 0.84522045138964 0.4539447169625268
Normal 0.284 0.047735990878669976 0.8793527685232242 0.4701041686844573
LognormalAB 0.284 0.03715080639304366 0.8058253223240874 0.43500593185012676
NormalAB 0.284 0.038974129760147413 0.8188613367570682 0.4413064531574636
PDE 0.3035 0.03118049475471574 0.7239993364543059 0.40533751299477017
Lognormal 0.3035 0.04459584854128879 0.8153633031491974 0.45143236382010415
Normal 0.3035 0.04928479668859604 0.8453810819553751 0.46621939017532554
LognormalAB 0.3035 0.03902476931162067 0.7785890590049431 0.4330722168686875
NormalAB 0.3035 0.0407952433402363 0.7904258884555778 0.439010920559156
PDE 0.323 0.033474039076159215 0.7046973555559407 0.4054869580264171
Lognormal 0.323 0.04648787639281657 0.7875970029327711 0.44875423441968065
Normal 0.323 0.050887409681929674 0.8140986941046012 0.46230075945660926
LognormalAB 0.323 0.04095999917335122 0.753345882228856 0.4310386761161026
NormalAB 0.323 0.042683326222279265 0.764153187728087 0.43665342440994875
PDE 0.34249999999999997 0.03582690786036959 0.6864038295641163 0.405377007268326
Lognormal 0.34249999999999997 0.048419336528525245 0.7616715612919528 0.4459368534971885
Normal 0.34249999999999997 0.05254972379483127 0.7851471020787744 0.45835866329648817
LognormalAB 0.34249999999999997 0.042964063463277836 0.729854139899786 0.428925110629672
NormalAB 0.34249999999999997 0.044645147075541604 0.7397698632096067 0.4342481311876203
PDE 0.362 0.038244761125652636 0.6690247547845587 0.40503772875510796
Lognormal 0.362 0.050398361510933604 0.7373814221913446 0.4430035048129998
Normal 0.362 0.05427787565028945 0.7582364293358647 0.45440291107806285
LognormalAB 0.362 0.045044550265214894 0.7079151604010953 0.4267488681487856
NormalAB 0.362 0.04668764253110473 0.7170528307113102 0.4318078533719235
PDE 0.38149999999999995 0.040733695127644694 0.652481292878991 0.40449610576092304
Lognormal 0.38149999999999995 0.052433122488467626 0.7145559466602455 0.4399750422700049
Normal 0.38149999999999995 0.056078338129710685 0.7331295665512313 0.4504430031013144
LognormalAB 0.38149999999999995 0.04720918738258695 0.6873639968468123 0.4245254764851091
NormalAB 0.38149999999999995 0.04881800325610686 0.6958180724563278 0.4293444263352967
PDE 0.401 0.04330025513667019 0.6367067716198868 0.40377661349934135
Lognormal 0.401 0.05453196809920938 0.6930523547490978 0.43687051892423107
Normal 0.401 0.05795800740450651 0.7096306650749806 0.4464883478438478
LognormalAB 0.401 0.04946594222488865 0.6680625497126182 0.4222691238042838
NormalAB 0.401 0.05104374924891671 0.6759123921317152 0.4268690011349989
PDE 0.4205 0.04595155598227574 0.6216449213056352 0.40290198809381383
Lognormal 0.4205 0.05670354959662659 0.6727504081703634 0.4337076870781506
Normal 0.4205 0.05992428733946992 0.6875766365106633 0.4425484453343224
LognormalAB 0.4205 0.05182310832632368 0.6498943743743972 0.41999303076222144
NormalAB 0.4205 0.053372797749895916 0.6572072514412131 0.42439227728538326
PDE 0.44 0.04869529629127237 0.6072479661118604 0.4018935352287988
Lognormal 0.44 0.058956937532316345 0.6535483490331823 0.4305034059213892
Normal 0.44 0.061985173921154164 0.6668307729384831 0.43863304810042913
LognormalAB 0.44 0.054289382290338264 0.6327607041858219 0.4177097446800892
NormalAB 0.44 0.055813525878175514 0.6395940913394867 0.42192469175889225
PDE 0.45949999999999996 0.05153980046517423 0.5934752583694215 0.4007714556357891
Lognormal 0.45949999999999996 0.061301733731291635 0.635359760389601 0.4272739821256382
Normal 0.45949999999999996 0.0641493414847825 0.647277891557639 0.43475230743439275
LognormalAB 0.45949999999999996 0.056873933506545196 0.6165773646639628 0.41543137630144183
NormalAB 0.45949999999999996 0.05837482917169541 0.6229807306634617 0.4194765752565043
PDE 0.479 0.05449407218228739 0.5802922413064153 0.3995551434177766
Lognormal 0.479 0.06374818109777071 0.6181111134172499 0.4240354612587454
Normal 0.479 0.06642623182315792 0.6288205936036266 0.4309169101555173
LognormalAB 0.479 0.059586467907215335 0.6012723501642875 0.41316979318657526
NormalAB 0.479 0.0610661764705726 0.607288558501314 0.4170582831998935
PDE 0.4985 0.05756784897587625 0.5676696186208999 0.3982634383063631
Lognormal 0.4985 0.06630727280308216 0.601739832662558 0.42080388254565754
Normal 0.4985 0.06882614663619846 0.6113763497525175 0.42713820914921397
LognormalAB 0.4985 0.062437286160387656 0.5867838990040555 0.41093677928924927
NormalAB 0.4985 0.0638976609459922 0.5924503189718036 0.414680306323462
PDE 0.518 0.06077165618123239 0.5555826803584112 0.39691483946820816
Lognormal 0.518 0.06899086149702054 0.5861927562339645 0.41759550554365427
Normal 0.518 0.07136034312894401 0.59487520620898 0.42342834941285307
LognormalAB 0.518 0.06543733593560015 0.5730589472697363 0.4087441670111418
NormalAB 0.518 0.06688004647661723 0.5784083429391401 0.41235336381116366
PDE 0.5375 0.06411685806594926 0.5440107467946809 0.3955276857563324
Lognormal 0.5375 0.07181176824559368 0.5714248992466608 0.41442701417464767
Normal 0.5375 0.07404113181450359 0.5792579614744596 0.419800389929618
LognormalAB 0.5375 0.06859825716331779 0.5600518723629838 0.4066039455925128
