model asset expiry sigma error
Shifted-SABR-1 sp500 4.0 0.4031496785141271 4.1127922459339305E-4
Shifted-SABR-1 sp500 4.997260274 0.4294832191272339 3.669180331864285E-4
Shifted-SABR-1 sp500 7.002739726 0.43842986968367337 8.92377942822462E-4
Shifted-SABR-1 sp500 10.002739726 0.37325400157345107 0.0012796314062642532
Shifted-SABR-1 euro50 0.0191780822 0.34042576499556665 0.016631410643668784
Shifted-SABR-1 euro50 0.0849315068 0.29616772878458614 0.0063730469018353315
Shifted-SABR-1 euro50 0.1616438356 0.24083921081440332 0.00203108563080884
Shifted-SABR-1 euro50 0.2383561644 0.23448213513764793 0.0011221212984445774
Shifted-SABR-1 euro50 0.4904109589 0.26323234722599853 0.0011363839182021375
Shifted-SABR-1 euro50 0.7479452055 0.29747469604547294 0.0010601718043941068
Shifted-SABR-1 euro50 0.997260274 0.3149060949891397 0.0012073741933015937
Shifted-SABR-1 euro50 1.495890411 0.33755063959170756 9.997004565620294E-4
Shifted-SABR-1 euro50 1.997260274 0.33259658227076927 8.547454575582029E-4
Shifted-SABR-1 euro50 2.997260274 0.3318628391191164 5.172571678594694E-4
Shifted-SABR-1 euro50 4.0 0.3321720978803087 3.546452292383376E-4
Shifted-SABR-1 euro50 4.997260274 0.33399598057734176 3.381185816851717E-4
Shifted-SABR-1 euro50 7.0 0.3412475566039757 3.305903782402114E-4
Shifted-SABR-1 euro50 10.002739726 0.36301105253321814 3.3248518886712223E-4
Shifted-SABR-1 msci 0.0191780822 0.453475893194546 0.046675353874568455
Shifted-SABR-1 msci 0.0849315068 0.3867926449683869 0.010623571069089142
Shifted-SABR-1 msci 0.1616438356 0.3342497250033909 0.002080775883570475
Shifted-SABR-1 msci 0.2383561644 0.4357671346386731 0.003496116949844423
Shifted-SABR-1 msci 0.4904109589 0.4450846123184717 0.0036043622431794573
Shifted-SABR-1 msci 0.7479452055 0.4623787455416326 0.0023041639269188482
Shifted-SABR-1 msci 1.0 1.4262572573883996 0.0022094858661387932
Shifted-SABR-1 msci 1.495890411 1.174530361817996 0.0016001491422645432
Shifted-SABR-1 msci 2.0 0.4121792195995987 0.0011680890457382534
Shifted-SABR-1 msci 3.0 0.3902000632557872 6.94048168662743E-4
Shifted-SABR-1 msci 4.0 0.383607128714963 4.3730394907553376E-4
Shifted-SABR-1 msci 4.997260274 0.5490974119533143 3.0004776591217023E-4
Shifted-SABR-1 msci 7.002739726 0.39815799169617766 4.511760334546704E-4
Shifted-SABR-1 msci 10.002739726 0.33455990758420734 0.0010198317197137577
Shifted-SABR-1 bnp 0.0191780822 0.5887133840402066 0.015284916994555753
Shifted-SABR-1 bnp 0.0849315068 0.48267421871443206 0.002864310211538823
Shifted-SABR-1 bnp 0.1616438356 0.33737036577808555 0.0015365675270119653
Shifted-SABR-1 bnp 0.2383561644 0.3641387296425672 9.908322300714975E-4
Shifted-SABR-1 bnp 0.4904109589 0.4465288006519659 2.786722514847855E-4
Shifted-SABR-1 bnp 0.7479452055 0.4573532962494795 7.724530856791675E-4
Shifted-SABR-1 bnp 1.0 0.5549181943147841 7.299496713825887E-4
Shifted-SABR-1 bnp 1.495890411 0.6265540141832072 7.674717848613112E-4
Shifted-SABR-1 bnp 2.0 0.6891600218525926 4.889022937712367E-4
Shifted-SABR-1 bnp 3.0 0.7664599781658702 4.159600200586324E-4
Shifted-SABR-1 bnp 4.0 0.7216984962546491 5.493921968791997E-4
Shifted-SABR-1 bnp 4.997260274 0.2577019810274283 0.0021311821070481574
Shifted-SABR-1 bnp 7.002739726 0.6186726880738626 2.595288486587876E-4
Shifted-SABR-1 bnp 10.002739726 0.5779469200224528 6.99788528332394E-4
Shifted-SABR-1 axa 0.0191780822 0.4806953645740987 0.028017415002407835
Shifted-SABR-1 axa 0.0849315068 0.38159043645594454 0.006984397665207933
Shifted-SABR-1 axa 0.1616438356 0.2801883857342861 0.0016083833037652342
Shifted-SABR-1 axa 0.2383561644 0.29065753033107944 0.0014818437168278044
Shifted-SABR-1 axa 0.4904109589 0.3344244183365257 6.255247271079326E-4
Shifted-SABR-1 axa 0.7479452055 0.3895006381923469 9.645270618977914E-4
Shifted-SABR-1 axa 1.0 0.4833677932000845 0.0017979423360877955
Shifted-SABR-1 axa 1.495890411 0.4488440095080286 0.0013608766099788576
Shifted-SABR-1 axa 2.0 2.531289431244814 0.0034420492445096946
Shifted-SABR-1 axa 3.0 2.348885471782349 0.001992861393593259
Shifted-SABR-1 axa 4.0 0.44526998869857065 2.923315089794004E-4
Shifted-SABR-1 axa 4.997260274 0.4368813276914615 1.709373798927452E-4
Shifted-SABR-1 axa 7.002739726 0.404830165463252 8.60629487432412E-5
Shifted-SABR-1 axa 10.002739726 0.4754207590798867 4.457060736013334E-4
Shifted-SABR-1 airliq 0.0191780822 0.3236743620432114 0.017295702262394314
Shifted-SABR-1 airliq 0.0849315068 0.28569026698549904 0.006272112308670745
Shifted-SABR-1 airliq 0.1616438356 0.20224762688891076 0.0026523815606203614
Shifted-SABR-1 airliq 0.2383561644 0.18494075024550358 0.0013803447755113172
Shifted-SABR-1 airliq 0.4904109589 0.2166542218915557 7.979910353466567E-4
Shifted-SABR-1 airliq 0.7479452055 2.216371236397423 0.0010152919825102335
Shifted-SABR-1 airliq 1.0 1.7790617118647971 8.774599749783468E-4
Shifted-SABR-1 airliq 1.495890411 1.3004388217465264 8.702423171149857E-4
Shifted-SABR-1 airliq 2.0 0.32721379131193534 5.94789949159935E-4
Shifted-SABR-1 airliq 3.0 0.34546644022998463 3.5608901092382703E-4
Shifted-SABR-1 airliq 4.0 0.3664299154120922 2.788853023230233E-4
Shifted-SABR-1 airliq 4.997260274 0.5617052819839123 2.635374934436903E-4
Shifted-SABR-1 airliq 7.002739726 0.4091689664037862 8.260002771393026E-4
Shifted-SABR-1 airliq 10.002739726 0.3422202132367927 0.0014559351780297914
Shifted-SABR-1 bancorp 0.0191780822 0.3435438206839867 0.012343037477400292
Shifted-SABR-1 bancorp 0.0849315068 0.2667032853298808 0.006907727456658243
Shifted-SABR-1 bancorp 0.1616438356 0.216517103277218 0.003739272939077198
Shifted-SABR-1 bancorp 0.2383561644 0.1961599021029277 0.002639103254890796
Shifted-SABR-1 bancorp 0.4904109589 0.31858492936144056 0.00380542374709826
Shifted-SABR-1 bancorp 0.7479452055 0.385584230349517 0.004756080617201715
Shifted-SABR-1 bancorp 1.0 0.41687032089921394 0.005181234427214317
Shifted-SABR-1 bancorp 1.495890411 0.4535031066619908 0.0055950737232658195
Shifted-SABR-1 bancorp 2.0 0.48414175018225797 0.005817844977716942
Shifted-SABR-1 bancorp 3.0 0.5851692188987279 0.0060526002789645685
Shifted-SABR-1 bancorp 4.0 0.6471237795000421 0.006908104962977387
Shifted-SABR-1 bancorp 4.997260274 0.6325158992249957 0.008235203222365116
Shifted-SABR-1 bancorp 7.002739726 0.6046797875144113 0.010199392602472287
Shifted-SABR-1 bancorp 10.002739726 0.5517957713286064 0.011866925129604591
Shifted-SABR-1 wells 0.0191780822 0.529136926621392 0.051669091665207216
Shifted-SABR-1 wells 0.0849315068 0.45416956720731044 0.01332297178581158
Shifted-SABR-1 wells 0.1616438356 0.3396088819095305 0.004982849662349414
Shifted-SABR-1 wells 0.2383561644 0.29842007804358167 0.0029342268228807764
Shifted-SABR-1 wells 0.4904109589 0.38290284631523963 8.795576277447901E-4
Shifted-SABR-1 wells 0.7479452055 0.41055225625336483 7.038609383412978E-4
Shifted-SABR-1 wells 1.0 0.41242846155053486 8.759039313712408E-4
Shifted-SABR-1 wells 1.495890411 0.4333742559246518 4.037922076170697E-4
Shifted-SABR-1 wells 2.0 0.4570926616203463 2.0961164472869993E-4
Shifted-SABR-1 wells 3.0 0.5437890534418481 3.8240060210200337E-4
Shifted-SABR-1 wells 4.0 0.5365293798049288 0.0013557390032085156
Shifted-SABR-1 wells 4.997260274 0.4874566251570153 0.0022096616669832095
Shifted-SABR-1 wells 7.002739726 0.43416485147230766 0.003824913275832304
Shifted-SABR-1 wells 10.002739726 0.3856848929106988 0.0051811540303806575
Shifted-SABR-1 dell 0.0191780822 0.5528698121235757 0.03465817586248103
Shifted-SABR-1 dell 0.0849315068 0.6109164300604475 0.010158338871722695
Shifted-SABR-1 dell 0.1616438356 0.518592891295983 0.005366261470524689
Shifted-SABR-1 dell 0.2383561644 0.4111354500076389 0.0026776892780166783
Shifted-SABR-1 dell 0.4904109589 0.2423367599279031 5.504636099154178E-4
Shifted-SABR-1 dell 0.7479452055 0.31545030061467744 5.389549783117766E-4
Shifted-SABR-1 dell 1.0 4.526485707923389 0.0017411185501097484
Shifted-SABR-1 dell 1.495890411 0.4943364412740824 2.043281611396067E-4
Shifted-SABR-1 dell 2.0 3.029413352585719 0.0017166802946644926
Shifted-SABR-1 dell 3.0 0.2561772916547149 0.0019404471107669565
Shifted-SABR-1 dell 4.0 0.6894793040839671 2.4180719671890337E-4
Shifted-SABR-1 dell 4.997260274 0.7440351468429155 5.890863849180037E-4
Shifted-SABR-1 dell 7.002739726 0.6681513900378507 0.0013159963799090205
Shifted-SABR-1 dell 10.002739726 0.5961643323317463 0.0018328898887862704
Shifted-SABR-1R0 1 0.057534247 0.08974035929492888 0.008158764957965898
Shifted-SABR-1R0 1 0.153424658 0.0849748985605006 0.005915852306872013
Shifted-SABR-1R0 1 0.230136986 0.08473417872199494 0.005553988201706191
Shifted-SABR-1R0 1 0.479452055 0.08428193859106603 0.0030669746908513055
Shifted-SABR-1R0 1 0.728767123 0.08470104393809977 0.0020145555705819666
Shifted-SABR-1R0 1 1.22739726 0.08551676891515703 0.0010153256655159363
Shifted-SABR-1R0 1 1.726027397 0.10088659132779447 7.689220297177272E-4
Shifted-SABR-1R0 1 2.243835616 4.252922460766465 0.0015592280864258564
Shifted-SABR-1R0 1 2.742465753 0.12293668856716082 5.303854037010869E-4
Shifted-SABR-1R0 1 3.24109589 2.956387150038162 4.959421399607819E-4
Shifted-SABR-1R0 1 4.238356164 0.13934589413129508 3.9039170204938295E-4
Shifted-SABR-1R0 sp500 0.0191780822 0.058367363594446074 0.048556523883435905
Shifted-SABR-1R0 sp500 0.0849315068 0.05269145343464448 0.04090697564334123
Shifted-SABR-1R0 sp500 0.1616438356 0.05122231057146529 0.03894128202829043
Shifted-SABR-1R0 sp500 0.2383561644 0.052160063407001134 0.03817848272134201
Shifted-SABR-1R0 sp500 0.4904109589 0.05470915074633716 0.03613034033862643
Shifted-SABR-1R0 sp500 0.7479452055 0.057183849635377294 0.03417136010553009
Shifted-SABR-1R0 sp500 1.0 0.05897313991837592 0.030858903566725406
Shifted-SABR-1R0 sp500 1.495890411 0.0622339779151898 0.024933918271527494
Shifted-SABR-1R0 sp500 2.0 0.06477756673019917 0.020448949809275967
Shifted-SABR-1R0 sp500 3.0 0.06907651994397716 0.015712272925369794
Shifted-SABR-1R0 sp500 4.0 0.07183346116980517 0.010838211504115841
Shifted-SABR-1R0 sp500 4.997260274 0.07338162280993771 0.008102755350615177
Shifted-SABR-1R0 sp500 7.002739726 0.07985558479727176 0.00429776451542907
Shifted-SABR-1R0 sp500 10.002739726 0.08715113980992158 0.003470267817900992
Shifted-SABR-1R0 euro50 0.0191780822 0.06234059189527904 0.036518564397727875
Shifted-SABR-1R0 euro50 0.0849315068 0.05828632327406186 0.029369939760283993
Shifted-SABR-1R0 euro50 0.1616438356 0.05812568301005647 0.029059658136240157
Shifted-SABR-1R0 euro50 0.2383561644 0.06065168542427036 0.027022074802519596
Shifted-SABR-1R0 euro50 0.4904109589 0.06510109590144986 0.021248216154812212
Shifted-SABR-1R0 euro50 0.7479452055 0.06856010466325724 0.018325625990053006
Shifted-SABR-1R0 euro50 0.997260274 0.07106503212917469 0.015414096501491607
Shifted-SABR-1R0 euro50 1.495890411 4.389973248352203 0.016074789416423072
Shifted-SABR-1R0 euro50 1.997260274 3.9214825869258463 0.012357422661570684
Shifted-SABR-1R0 euro50 2.997260274 0.0753226075084419 0.002923903754343041
Shifted-SABR-1R0 euro50 4.0 0.08172047830900174 0.002005196029998515
Shifted-SABR-1R0 euro50 4.997260274 0.08961876798220686 0.0018271489822813877
Shifted-SABR-1R0 euro50 7.0 0.0987611834049822 0.0016305675334911962
Shifted-SABR-1R0 euro50 10.002739726 0.10584049948650588 0.0014952693177983823
Shifted-SABR-1R0 msci 0.0191780822 0.08142645154589412 0.05945546984417988
Shifted-SABR-1R0 msci 0.0849315068 0.07312201196640654 0.03305421231460377
Shifted-SABR-1R0 msci 0.1616438356 0.0719572697376839 0.03184535835620224
Shifted-SABR-1R0 msci 0.2383561644 0.07371525348690201 0.03341127171311888
Shifted-SABR-1R0 msci 0.4904109589 0.07169422379413785 0.03888487354869162
Shifted-SABR-1R0 msci 0.7479452055 0.07741805214149985 0.02422249673767832
Shifted-SABR-1R0 msci 1.0 4.999031079445329 0.022846440471018865
Shifted-SABR-1R0 msci 1.495890411 4.935598604105488 0.017449103750156333
Shifted-SABR-1R0 msci 2.0 0.07241919223315965 0.01110987459698564
Shifted-SABR-1R0 msci 3.0 0.06938227282307827 0.008570835093976199
Shifted-SABR-1R0 msci 4.0 0.06765693783627419 0.0072278387506195035
Shifted-SABR-1R0 msci 4.997260274 0.06639821303179368 0.0064452885618783646
Shifted-SABR-1R0 msci 7.002739726 0.09045411728374807 0.00816220741702947
Shifted-SABR-1R0 msci 10.002739726 2.0731157506637024 0.008295588045033641
Shifted-SABR-1R0 bnp 0.0191780822 0.10226426055733288 0.03929271849903334
Shifted-SABR-1R0 bnp 0.0849315068 0.09929006682892348 0.030815942887632227
Shifted-SABR-1R0 bnp 0.1616438356 0.09928485305802158 0.0296306044105354
Shifted-SABR-1R0 bnp 0.2383561644 0.10039612006862073 0.026394428113784528
Shifted-SABR-1R0 bnp 0.4904109589 0.10142935021920609 0.023062903992533038
Shifted-SABR-1R0 bnp 0.7479452055 0.10535647716300844 0.016084039958452038
Shifted-SABR-1R0 bnp 1.0 0.10895822792539078 0.01409058578731386
Shifted-SABR-1R0 bnp 1.495890411 0.11054644580996853 0.012328440713188399
Shifted-SABR-1R0 bnp 2.0 0.1108267568046735 0.012002987425842314
Shifted-SABR-1R0 bnp 3.0 2.8025172613083384 0.004260364112546152
Shifted-SABR-1R0 bnp 4.0 2.526330287316693 0.003334246193902109
Shifted-SABR-1R0 bnp 4.997260274 0.2581275643246991 0.0021283222276023343
Shifted-SABR-1R0 bnp 7.002739726 0.303880076973552 0.0020150448048049698
Shifted-SABR-1R0 bnp 10.002739726 1.3542048311532713 0.0026770098886861444
Shifted-SABR-1R0 axa 0.0191780822 0.25198301772765036 0.038056171813964826
Shifted-SABR-1R0 axa 0.0849315068 0.07888102527789964 0.020646439782838588
Shifted-SABR-1R0 axa 0.1616438356 0.07891512510252835 0.024671121767499953
Shifted-SABR-1R0 axa 0.2383561644 0.08119343975891338 0.022303848546464958
Shifted-SABR-1R0 axa 0.4904109589 0.0836512230583948 0.01799881767196003
Shifted-SABR-1R0 axa 0.7479452055 0.08771391828969753 0.01700332884780182
Shifted-SABR-1R0 axa 1.0 0.09125365253145465 0.015461740088486555
Shifted-SABR-1R0 axa 1.495890411 0.0929850569180716 0.005225035812976418
Shifted-SABR-1R0 axa 2.0 0.1126309748554763 0.003414120518499368
Shifted-SABR-1R0 axa 3.0 2.792296202287545 0.002010937293510773
Shifted-SABR-1R0 axa 4.0 0.16928901834313576 0.0013166451175648931
Shifted-SABR-1R0 axa 4.997260274 2.1095597059640907 0.001994290911969166
Shifted-SABR-1R0 axa 7.002739726 0.19835973647744062 0.001787227061649386
Shifted-SABR-1R0 axa 10.002739726 0.20576462832800135 0.0023347674560109024
Shifted-SABR-1R0 airliq 0.0191780822 0.05753022550278011 0.026917185670123134
Shifted-SABR-1R0 airliq 0.0849315068 0.05774755445296069 0.01493318383949803
Shifted-SABR-1R0 airliq 0.1616438356 0.058093505272227605 0.013689597740939826
Shifted-SABR-1R0 airliq 0.2383561644 0.05877526767493322 0.013447589791576998
Shifted-SABR-1R0 airliq 0.4904109589 0.06024043339751247 0.013223526030001712
Shifted-SABR-1R0 airliq 0.7479452055 0.06367301765268828 0.012686864995771869
Shifted-SABR-1R0 airliq 1.0 0.06613020526443654 0.01123783092293192
Shifted-SABR-1R0 airliq 1.495890411 0.06521848301972312 0.012871564360167379
Shifted-SABR-1R0 airliq 2.0 0.06771952627919149 0.010440414124221118
Shifted-SABR-1R0 airliq 3.0 0.07016858968505432 0.008120204825072435
Shifted-SABR-1R0 airliq 4.0 2.758814968332243 0.009392549028198043
Shifted-SABR-1R0 airliq 4.997260274 0.07213947188017768 0.006265677338539848
Shifted-SABR-1R0 airliq 7.002739726 0.0724052659567024 0.005522642829374074
Shifted-SABR-1R0 airliq 10.002739726 1.504676559450167 0.006266495425391416
