Method Strike Volatility
Reference 2.87234E-4 7.65109E-4
Reference 0.002787234 0.001326476
Reference 0.005287234 0.002236096
Reference 0.007787234 0.003047958
Reference 0.010287234 0.003792731
Reference 0.012787234 0.004492918
Reference 0.017787234 0.005806064
Reference 0.022787234 0.007030385
Explicit 2.87234E-4 5.408548872312334E-4
Levenberg-Marquardt 2.87234E-4 7.502643772292118E-4
Explicit 5.12234E-4 5.497692522853744E-4
Levenberg-Marquardt 5.12234E-4 7.653007410164504E-4
Explicit 7.37234E-4 5.648084723948722E-4
Levenberg-Marquardt 7.37234E-4 7.808392008368198E-4
Explicit 9.62234E-4 5.945489096006541E-4
Levenberg-Marquardt 9.62234E-4 8.024953129631429E-4
Explicit 0.001187234 6.4749706381373E-4
Levenberg-Marquardt 0.001187234 8.343427032808243E-4
Explicit 0.0014122339999999998 7.254740487015594E-4
Levenberg-Marquardt 0.0014122339999999998 8.78973225012813E-4
Explicit 0.001637234 8.199880971922172E-4
Levenberg-Marquardt 0.001637234 9.366063443296523E-4
Explicit 0.001862234 9.209532313551195E-4
Levenberg-Marquardt 0.001862234 0.0010050792554658786
Explicit 0.002087234 0.0010226641749952977
Levenberg-Marquardt 0.002087234 0.001081124999481174
Explicit 0.002312234 0.0011228085671910277
Levenberg-Marquardt 0.002312234 0.001161727584712869
Explicit 0.0025372339999999998 0.0012206385942473764
Levenberg-Marquardt 0.0025372339999999998 0.0012446889088166678
Explicit 0.0027622339999999997 0.0013160250789947606
Levenberg-Marquardt 0.0027622339999999997 0.001328593948729829
Explicit 0.002987234 0.0014090668367597939
Levenberg-Marquardt 0.002987234 0.001412589781462335
Explicit 0.0032122339999999996 0.0014999365932454954
Levenberg-Marquardt 0.0032122339999999996 0.00149618261206559
Explicit 0.003437234 0.0015888208393977372
Levenberg-Marquardt 0.003437234 0.0015790972209783812
Explicit 0.0036622339999999995 0.0016758971315223219
Levenberg-Marquardt 0.0036622339999999995 0.0016611889630186252
Explicit 0.003887234 0.0017613265433539663
Levenberg-Marquardt 0.003887234 0.001742390676021693
Explicit 0.004112234 0.001845252249481226
Levenberg-Marquardt 0.004112234 0.0018226809676026932
Explicit 0.004337234 0.0019278004940882644
Levenberg-Marquardt 0.004337234 0.0019020652372155828
Explicit 0.004562234 0.0020090823665303973
Levenberg-Marquardt 0.004562234 0.0019805642496130652
Explicit 0.004787234 0.002089195723581851
Levenberg-Marquardt 0.004787234 0.002058207211146519
Explicit 0.005012234 0.002168226995627992
Levenberg-Marquardt 0.005012234 0.0021350275577327327
Explicit 0.0052372339999999995 0.002246252787263615
Levenberg-Marquardt 0.0052372339999999995 0.0022110603939107408
Explicit 0.005462234 0.002323341257023804
Levenberg-Marquardt 0.005462234 0.002286340947718317
Explicit 0.005687234 0.0023995532909876723
Levenberg-Marquardt 0.005687234 0.0023609036559588763
Explicit 0.005912234 0.0024749434952212423
Levenberg-Marquardt 0.005912234 0.002434781643019153
Explicit 0.006137233999999999 0.0025495610336107063
Levenberg-Marquardt 0.006137233999999999 0.0025080064459759677
Explicit 0.006362234 0.0026234503356961834
Levenberg-Marquardt 0.006362234 0.0025806078934749563
Explicit 0.006587234 0.0026966516959804265
Levenberg-Marquardt 0.006587234 0.002652614079760804
Explicit 0.0068122339999999995 0.0027692017828908778
Levenberg-Marquardt 0.0068122339999999995 0.002724051396482004
Explicit 0.007037233999999999 0.0028411340725375826
Levenberg-Marquardt 0.007037233999999999 0.0027949445983529047
Explicit 0.007262234 0.00291247921977943
Levenberg-Marquardt 0.007262234 0.0028653168873640157
Explicit 0.007487234 0.0029832653768976343
Levenberg-Marquardt 0.007487234 0.002935190005782018
Explicit 0.007712233999999999 0.0030535184683482108
Levenberg-Marquardt 0.007712233999999999 0.003004584331779485
Explicit 0.007937234000000001 0.0031232624285667154
Levenberg-Marquardt 0.007937234000000001 0.003073518973879523
Explicit 0.008162234 0.003192519408577306
